	;Ц
0x8b58	0xa69b	;
0x8b59	0xa6a1	;
0x8b5a	0xa69d	;
0x8b5c	0xa69a	;
0x8b5d	0xcd9e	;
0x8b5f	0xa761	;ķ
0x8b60	0xcd9c	;
0x8b63	0xcda0	;
0x8b65	0xcda1	;
0x8b66	0xa75f	;ĵ
0x8b67	0xcda2	;
0x8b68	0xcd9f	;
0x8b6a	0xcd9d	;
0x8b6b	0xa762	;ĸ
0x8b6c	0xa75e	;Ĵ
0x8b6d	0xcda3	;
0x8b6f	0xa760	;Ķ
0x8b70	0xa75d	;ĳ
0x8b74	0xa7a9	;
0x8b77	0xa7aa	;@
0x8b78	0xcebc	;N
0x8b79	0xcebb	;M
0x8b7a	0xcebe	;P
0x8b7b	0xcebf	;Q
0x8b7d	0xa7ab	;A
0x8b7e	0xcfa5	;V
0x8b7f	0xcfaa	;[
0x8b80	0xa7f2	;Ū
0x8b82	0xcfa7	;X
0x8b84	0xcfa6	;W
0x8b85	0xcfa9	;Z
0x8b86	0xcfa8	;Y
0x8b88	0xd072	;C
0x8b8a	0xa867	;
0x8b8b	0xd071	;B
0x8b8c	0xd06f	;@
0x8b8e	0xd070	;A
0x8b92	0xa88a	;
0x8b93	0xa889	;
0x8b94	0xd0cf	;
0x8b95	0xd0d0	;
0x8b96	0xa88b	;@
0x8b98	0xd15d	;M
0x8b99	0xd15e	;N
0x8b9a	0xa8b2	;g
0x8b9c	0xa8b8	;m
0x8b9e	0xd198	;
0x8b9f	0xd1b7	;
0x8c37	0x8fc5	;
0x8c39	0xb571	;
0x8c3b	0xb572	;
0x8c3c	0xbc79	;R
0x8c3d	0xbfb8	;P
0x8c3e	0xc2ce	;
0x8c3f	0xa4ce	;
0x8c41	0xa4cd	;
0x8c42	0xca7b	;
0x8c43	0xcc52	;D
0x8c45	0xd073	;D
0x8c46	0x8fc6	;
0x8c47	0xb242	;
0x8c48	0x965e	;Z
0x8c49	0x98c5	;a
0x8c4a	0xbc7b	;T
0x8c4b	0xbc7a	;S
0x8c4c	0xa1a4	;
0x8c4d	0xc2cf	;
0x8c4e	0xa1a5	;
0x8c4f	0xc87c	;
0x8c50	0xa5c0	;
0x8c54	0xa8c1	;v
0x8c55	0x8fc7	;
0x8c56	0xacea	;
0x8c57	0xb243	;
0x8c5a	0x98c6	;b
0x8c5c	0xb573	;
0x8c5d	0xb574	;
0x8c5f	0xb8ca	;
0x8c61	0x9b4e	;H
0x8c62	0x9d8d	;
0x8c64	0xbc7d	;V
0x8c65	0xbc7c	;U
0x8c66	0xbc7e	;W
