0x587b	;
0x811b	0x516a	;
0x8123	0x5ba5	;
0x8129	0x5b7b	;
0x812b	0x64a5	;
0x812f	0x6575	;
0x8139	0x62e6	;
0x813e	0x5962	;
0x814b	0x5cb1	;
0x814e	0x5c41	;
0x8150	0x58cd	;
0x8151	0x58cc	;
0x8154	0x50a9	;
0x8155	0x5deb	;
0x8165	0x5ac6	;
0x8166	0x53c9	;
0x816b	0x61af	;
0x8170	0x5e4a	;
0x8171	0x685d	;
0x8178	0x6050	;
0x8179	0x5899	;
0x817a	0x5a97	;
0x817f	0x64d1	;
0x8180	0x57d5	;
0x8188	0x6862	;
0x818a	0x579f	;
0x818f	0x51a3	;
0x819a	0x58ce	;
0x819c	0x567e	;
0x819d	0x5bb6	;
0x81a0	0x5265	;
0x81a3	0x6293	;
0x81a8	0x6547	;
0x81b3	0x5a98	;
0x81b5	0x63fa	;
0x81ba	0x5f6a	;
0x81bd	0x53f8	;
0x81be	0x6760	;
0x81bf	0x53c6	;
0x81c0	0x54b9	;
0x81c2	0x5963	;
0x81c6	0x5cf1	;
0x81cd	0x6158	;
0x81d8	0x54f1	;
0x81df	0x6051	;
0x81e3	0x5c42	;
0x81e5	0x5de1	;
0x81e7	0x6b53	;
0x81e8	0x566b	;
0x81ea	0x5fd1	;
0x81ed	0x6448	;
0x81f3	0x6265	;
0x81f4	0x6467	;
0x81fa	0x5458	;
0x81fb	0x6b85	;
0x81fc	0x5299	;
0x81fe	0x5ef2	;
0x8205	0x529a	;
0x8207	0x5d48	;
0x8208	0x67b0	;
0x820a	0x529b	;
0x820c	0x5aa4	;
0x820d	0x598a	;
0x8212	0x5a69	;
0x821b	0x6358	;
0x821c	0x5ba6	;
0x821e	0x575a	;
0x821f	0x61d6	;
0x8221	0x6852	;
0x822a	0x65ea	;
0x822b	0x57d6	;
0x822c	0x57b8	;
0x8235	0x6488	;
0x8236	0x57a0	;
0x8237	0x6668	;
0x8239	0x5a99	;
0x8240	0x699e	;
0x8245	0x6a49	;
0x8247	0x60fd	;
0x8259	0x62e7	;
0x8264	0x5f77	;
0x8266	0x65d5	;
0x826e	0x5076	;
0x826f	0x554d	;
0x8271	0x5077	;
0x8272	0x5a4d	;
0x8276	0x5d80	;
0x8278	0x6b9d	;
0x827e	0x5ca9	;
0x828b	0x5e85	;
0x828d	0x5fe3	;
0x828e	0x6884	;
0x8292	0x56a0	;
0x8299	0x58cf	;
0x829a	0x6947	;
0x829d	0x6266	;
0x829f	0x59dd	;
0x82a5	0x50bc	;
0x82a6	0x6be1	;
0x82a9	0x6892	;
0x82ac	0x58f0	;
0x82ad	0x64e9	;
0x82ae	0x5da4	;
0x82af	0x5c58	;
0x82b1	0x66db	;
0x82b3	0x57d7	;
0x82b7	0x6b7d	;
0x82b8	0x5e97	;
0x82b9	0x52f8	;
0x82bb	0x63d3	;
0x82bc	0x6979	;
0x82bd	0x5c65	;
0x82bf	0x6b50	;
0x82d1	0x5eb0	;
0x82d2	0x5d7f	;
0x82d4	0x64ba	;
0x82d5	0x6b9e	;
0x82d7	0x574c	;
0x82db	0x5051	;
0x82de	0x6bbd	;
0x82df	0x529c	;
0x82e1	0x6af1	;
0x82e5	0x5cc8	;
0x82e6	0x51a4	;
0x82e7	0x6082	;
0x82f1	0x5d98	;
0x82fd	0x6872	;
0x82fe	0x6bc5	;
0x8301	0x61f4	;
0x8302	0x575b	;
0x8303	0x5854	;
0x8304	0x5052	;
0x8305	0x56ef	;
0x8309	0x6971	;
0x8317	0x56d8	;
0x8328	0x6b51	;
0x832b	0x56a1	;
0x832f	0x589a	;
0x8331	0x5b7c	;
0x8334	0x6bf0	;
0x8335	0x6b41	;
0x8336	0x53d5	;
0x8338	0x5e6c	;
0x8339	0x6a4a	;
0x8340	0x5ba7	;
0x8347	0x6bcf	;
0x8349	0x63a4	;
0x834a	0x668a	;
0x834f	0x5fb5	;
0x8351	0x5f90	;
0x8352	0x674d	;
0x8373	0x54b2	;
0x8377	0x65b1	;
0x837b	0x6099	;
0x8389	0x6969	;
0x838a	0x6052	;
0x838e	0x59b6	;
0x8396	0x516b	;
0x8398	0x5c43	;
0x839e	0x5dec	;
0x83a2	0x667e	;
0x83a9	0x699f	;
0x83aa	0x69e4	;
0x83ab	0x567f	;
0x83bd	0x56a2	;
0x83c1	0x6380	;
0x83c5	0x51ee	;
0x83c9	0x6959	;
0x83ca	0x52ad	;
0x83cc	0x52e3	;
0x83d3	0x51d7	;
0x83d6	0x62e8	;
0x83dc	0x62f0	;
0x83e9	0x6997	;
0x83eb	0x52f9	;
0x83ef	0x66dc	;
0x83f0	0x6873	;
0x83f1	0x5644	;
0x83f2	0x5964	;
0x83f4	0x5c8f	;
0x83f9	0x6b57	;
0x83fd	0x5b98	;
0x8403	0x63fb	;
0x8404	0x5479	;
0x840a	0x54fd	;
0x840c	0x56c0	;
0x840d	0x6556	;
0x840e	0x5eca	;
0x8429	0x63d4	;
0x842c	0x568b	;
0x8431	0x6788	;
0x8438	0x5ef3	;
0x843d	0x54d7	;
0x8449	0x5d86	;
0x8457	0x6083	;
0x845b	0x5083	;
0x8461	0x6577	;
0x8463	0x54a9	;
0x8466	0x5ecb	;
0x846b	0x66b3	;
0x846c	0x6053	;
0x846f	0x5cc9	;
0x8475	0x52db	;
0x847a	0x61fe	;
0x8490	0x5b7d	;
0x8494	0x5bdf	;
0x8499	0x5742	;
0x849c	0x59d1	;
0x84a1	0x57d8	;
0x84b2	0x6578	;
0x84b8	0x6248	;
0x84bb	0x69f0	;
0x84bc	0x62e9	;
0x84bf	0x6be2	;
0x84c0	0x69c9	;
0x84c2	0x6976	;
0x84c4	0x63ea	;
0x84c6	0x5a7f	;
0x84c9	0x5e6d	;
0x84cb	0x50bd	;
0x84cd	0x5be0	;
0x84d1	0x59b3	;
0x84da	0x5b7e	;
0x84ec	0x58b0	;
0x84ee	0x5576	;
0x84f4	0x69d8	;
0x84fc	0x55d2	;
0x8511	0x56cf	;
0x8513	0x568c	;
0x8514	0x589b	;
0x8517	0x5fd2	;
0x8518	0x59de	;
0x851a	0x5e9d	;
0x851e	0x695f	;
0x8521	0x62f1	;
0x8523	0x6054	;
0x8525	0x6ba2	;
0x852c	0x5aec	;
0x852d	0x5f60	;
0x852f	0x6b86	;
0x853d	0x655f	;
0x853f	0x6ac6	;
0x8541	0x68f8	;
0x8543	0x5845	;
0x8549	0x63a5	;
0x854e	0x5266	;
0x8553	0x6abe	;
0x8559	0x6694	;
0x8563	0x69d9	;
0x8568	0x6888	;
0x8569	0x64af	;
0x856a	0x575c	;
0x856d	0x5aed	;
0x8584	0x57a1	;
0x8587	0x577d	;
0x858f	0x6ae6	;
0x8591	0x50aa	;
0x8594	0x6055	;
0x859b	0x5aab	;
0x85a6	0x6359	;
0x85a8	0x6786	;
0x85a9	0x59d6	;
0x85aa	0x5c44	;
0x85af	0x5a6a	;
0x85b0	0x6784	;
0x85ba	0x615b	;
0x85c1	0x51a5	;
0x85c9	0x5fd3	;
0x85cd	0x54ed	;
0x85ce	0x69e1	;
0x85cf	0x6056	;
0x85d5	0x6ab6	;
0x85dc	0x555d	;
0x85dd	0x5da6	;
0x85e4	0x54c4	;
0x85e5	0x5cca	;
0x85e9	0x5846	;
0x85ea	0x5b7f	;
0x85f7	0x6084	;
0x85fa	0x5662	;
0x85fb	0x618e	;
0x85ff	0x51df	;
0x8602	0x5da7	;
0x8606	0x55a6	;
0x8607	0x5aee	;
0x860a	0x5dd0	;
0x8616	0x69fb	;
0x8617	0x6993	;
0x861a	0x5a9a	;
0x862d	0x54e1	;
0x863f	0x54cd	;
0x864e	0x66b4	;
0x8650	0x65b9	;
0x8654	0x50d9	;
0x8655	0x62fc	;
0x865b	0x6652	;
0x865c	0x55a7	;
0x865e	0x5e86	;
0x865f	0x66b5	;
0x8667	0x6798	;
0x8679	0x66d1	;
0x868a	0x5769	;
0x868c	0x57d9	;
0x8693	0x6b43	;
0x86a3	0x6877	;
0x86a4	0x618f	;
0x86a9	0x6bac	;
0x86c7	0x59b7	;
0x86cb	0x53e4	;
0x86d4	0x6761	;
0x86d9	0x5dde	;
0x86db	0x61d7	;
0x86df	0x5267	;
0x86e4	0x65da	;
0x86ed	0x6294	;
0x86fe	0x5c66	;
0x8700	0x63b2	;
0x8702	0x58b1	;
0x8703	0x5c45	;
0x8708	0x5dc1	;
0x8718	0x6267	;
0x871a	0x5965	;
0x871c	0x578d	;
0x874e	0x6849	;
0x8755	0x69df	;
0x8757	0x674e	;
0x875f	0x5ecc	;
0x8766	0x65b0	;
0x8768	0x5bb8	;
0x8774	0x66b6	;
0x8776	0x60db	;
0x8778	0x5ddf	;
0x8782	0x54fa	;
0x878d	0x5f52	;
0x879f	0x56d9	;
0x87a2	0x668b	;
0x87b3	0x68fc	;
0x87ba	0x54ce	;
0x87c4	0x647c	;
0x87e0	0x57b7	;
0x87ec	0x5a9b	;
0x87ef	0x5e54	;
0x87f2	0x63f6	;
0x87f9	0x65f8	;
0x87fb	0x5f78	;
0x87fe	0x5ab1	;
0x8805	0x5bc6	;
0x881f	0x54f2	;
0x8822	0x61ef	;
0x8823	0x555f	;
0x8831	0x519d	;
0x8836	0x5ff2	;
0x883b	0x568d	;
0x8840	0x6670	;
0x8846	0x61f7	;
0x884c	0x6646	;
0x884d	0x5d6e	;
